date,result
8-Feb,"[['19:00', 'B', '2', 'B2'], ['20:00', 'D', '1', 'D1']]"
9-Feb,"[['19:00', 'D', '1', 'D1'], ['20:00', 'A', '1', 'A1']]"
07 Feb,"[['Court 1'], ['Court 1']]"
07 Feb,"[['Court 2'], ['Court 2']]"
07 Feb,"[['Court 2'], ['Court 4']]"
07 Feb,No available court found
12 Feb,"[['14:00', 'D', '1', 'D1'], ['15:00', 'D', '1', 'D1']]"
13 Feb,No available court found
14 Feb,"[['14:00', 'C', '2', 'C2'], ['13:00', 'B', '1', 'B1']]"
15 Feb,"[['17:00', 'B', '1', 'B1'], ['18:00', 'B', '1', 'B1']]"
17 Feb,"[['18:00', 'B', '1', 'B1'], ['19:00', 'B', '2', 'B2']]"
19 Feb,"[['17:00', 'D', '2', 'D2'], ['18:00', 'B', '2', 'B2']]"
20 Feb,"[['14:00', 'B', '1', 'B1'], ['15:00', 'B', '1', 'B1']]"
22 Feb,"[['21:00', 'D', '1', 'D1'], ['22:00', 'A', '4', 'A4']]"
